match,PSW,win0,confidence0,date,winner
49547,1.28,0,3.166941445,6/26/2019,Verdasco F.
54624,4.3,1,2.763732582,1/23/2022,Shapovalov D.
52348,1.3,0,2.757454213,3/4/2021,Cerundolo F.
53678,1.3,0,2.665183311,7/31/2021,Ruud C.
54592,3.7,1,2.552669185,1/20/2022,Daniel T.
50941,1.31,0,2.530250631,2/7/2020,Schwartzman D.
53247,4.59,1,2.465955361,6/15/2021,Struff J.L.
54918,3.06,1,2.454797501,2/22/2022,Pucinelli de Almeida M.
50525,1.32,0,2.398927258,10/17/2019,Cilic M.
43314,1.25,0,2.361093231,2/22/2017,Del Potro J.M.
47644,1.34,0,2.326307987,9/4/2018,Del Potro J.M.
44635,1.37,0,2.32615506,7/28/2017,Sock J.
53826,1.43,0,2.314484648,8/21/2021,Tsitsipas S.
54022,1.43,0,2.29508468,9/22/2021,Gojowczyk P.
56801,1.23,0,2.29420613,10/13/2022,Auger-Aliassime F.
52151,1.41,0,2.288686004,2/9/2021,Harris L.
53462,1.42,0,2.273874002,7/9/2021,Berrettini M.
54749,3.43,1,2.266549145,2/9/2022,Verdasco F.
47172,1.41,0,2.235380675,7/20/2018,Johnson S.
53577,1.33,0,2.229238527,7/21/2021,Ramos-Vinolas A.
47226,3.56,1,2.207986279,7/25/2018,Monteiro T.
54398,3.09,1,2.188219268,11/20/2021,Zverev A.
56321,1.43,0,2.176942326,8/10/2022,Fritz T.
43686,2.94,1,2.176412956,4/15/2017,Johnson S.
45339,1.38,0,2.147867276,10/23/2017,Simon G.
54665,1.44,0,2.144234328,2/1/2022,Munar J.
43761,2.94,1,2.129900238,4/25/2017,Haase R.
53481,1.48,0,2.108397853,7/13/2021,Sandgren T.
52995,2.83,1,2.108395094,5/20/2021,Nishioka Y.
43419,1.43,0,2.087788659,3/2/2017,Ramos-Vinolas A.
52410,1.51,0,2.072394751,3/10/2021,Shapovalov D.
43342,1.47,0,2.065459937,2/24/2017,Sock J.
51765,2.77,1,2.065269898,10/22/2020,Harris L.
50685,3.34,1,2.060088012,1/7/2020,Ilkel C.
44773,2.75,1,2.059156409,8/8/2017,Lorenzi P.
56632,3.73,1,2.05560278,9/27/2022,Etcheverry T.
46072,1.39,0,2.052351376,3/8/2018,Fritz T.
55318,2.79,1,2.040109515,4/19/2022,Millman J.
47215,1.38,0,2.038374777,7/24/2018,Bedene A.
43528,2.65,1,2.032165754,3/15/2017,Sock J.
54640,1.53,0,2.031361346,1/31/2022,Bhambri Y.
49759,1.35,0,2.027029302,7/18/2019,Bedene A.
50295,1.53,0,2.016633975,9/20/2019,Tsonga J.W.
55983,1.29,0,2.011794348,6/30/2022,Kyrgios N.
47461,2.55,1,2.005492805,8/16/2018,Kyrgios N.
55121,1.3,0,2.002903722,3/24/2022,Nishioka Y.
51978,1.68,0,2.000982398,1/11/2021,Harrison C.
54053,2.77,1,1.999286461,9/25/2021,Kwon S.W.
47893,1.47,0,1.99923423,10/16/2018,Millman J.
43965,1.35,0,1.99104919,5/15/2017,Struff J.L.
47744,1.53,0,1.990815771,9/27/2018,Querrey S.
46862,1.38,0,1.984872578,6/16/2018,Federer R.
43952,1.45,0,1.98358716,5/13/2017,Nadal R.
43716,2.7,1,1.981690398,4/18/2017,Muller G.
52021,1.49,0,1.979833212,2/2/2021,Kukushkin M.
48692,3.72,1,1.979537303,3/7/2019,Andreozzi G.
48560,1.52,0,1.977607429,2/21/2019,Mcdonald M.
48687,1.6,0,1.968546209,3/7/2019,Thompson J.
49702,1.42,0,1.964610672,7/15/2019,Sandgren T.
47115,1.51,0,1.956979332,7/17/2018,Bolelli S.
51711,1.51,0,1.952659175,10/16/2020,Shapovalov D.
42866,1.41,0,1.950207962,1/3/2017,Youzhny M.
55522,2.86,1,1.947571254,5/11/2022,Khachanov K.
49013,1.36,0,1.945414015,4/23/2019,Pella G.
57600,2.89,1,1.941598394,3/3/2023,Medvedev D.
56579,1.51,0,1.937206137,9/20/2022,Rinderknech A.
57124,2.58,1,1.936920712,1/11/2023,Kwon S.W.
44122,1.34,0,1.935207408,5/30/2017,Del Potro J. M.
54040,2.6,1,1.934435318,9/23/2021,Giron M.
48704,2.52,1,1.93272295,3/8/2019,Mayer L.
42932,2.74,1,1.930872041,1/8/2017,Dimitrov G.
52120,1.56,0,1.9303173,2/8/2021,Ruusuvuori E.
45952,1.42,0,1.925517501,2/22/2018,Verdasco F.
44519,2.79,1,1.925245304,7/18/2017,Brown D.
49973,1.56,0,1.924326938,8/5/2019,Paul T.
56199,2.72,1,1.919358358,7/29/2022,Ivashka I.
53790,1.49,0,1.918302745,8/17/2021,Hurkacz H.
45288,1.59,0,1.911311629,10/18/2017,Sock J.
55474,1.32,0,1.908626239,5/5/2022,Hurkacz H.
47930,1.53,0,1.907353064,10/18/2018,Monfils G.
43455,1.38,0,1.906442431,3/9/2017,Mannarino A.
47746,1.54,0,1.899444817,9/28/2018,Sousa J.
42860,2.28,1,1.891866243,1/2/2017,Stepanek R.
47496,2.58,1,1.885635856,8/21/2018,Carballes Baena R.
54363,2.75,1,1.883997056,11/8/2021,Vavassori A.
48676,1.54,0,1.879384857,3/1/2019,Ruud C.
55484,1.65,0,1.869217806,5/8/2022,Alcaraz C.
50056,2.78,1,1.868811759,8/14/2019,Carreno Busta P.
55038,2.54,1,1.86876826,3/12/2022,Bagnis F.
55460,2.55,1,1.867029461,5/4/2022,Musetti L.
57092,2.57,1,1.862941365,1/9/2023,Mcdonald M.
51205,1.54,0,1.862588651,2/28/2020,Ruud C.
43085,1.54,0,1.852270279,1/20/2017,Tsonga J.W.
43512,2.88,1,1.849594242,3/13/2017,Carreno Busta P.
47224,1.41,0,1.837147522,7/25/2018,Kovalik J.
49955,1.62,0,1.836752217,8/2/2019,Fritz T.
47353,2.58,1,1.836019799,8/3/2018,Istomin D.
51684,1.57,0,1.834891482,10/14/2020,Safiullin R.
52562,2.75,1,1.826694702,3/26/2021,Norrie C.
48838,1.55,0,1.825918601,3/23/2019,Shapovalov D.
53788,2.77,1,1.820891177,8/17/2021,Dimitrov G.
52404,1.56,0,1.819256212,3/10/2021,Rune H.
53010,1.5,0,1.818989368,5/21/2021,Shapovalov D.
50452,1.48,0,1.816349957,10/9/2019,Isner J.
52963,2.45,1,1.815210267,5/17/2021,Sandgren T.
55463,2.4,1,1.813336551,5/4/2022,Dimitrov G.
52136,1.61,0,1.806104363,2/9/2021,Mmoh M.
44889,1.4,0,1.804696486,8/23/2017,Fritz T.
44518,1.65,0,1.801284688,7/18/2017,Bagnis F.
42983,1.43,0,1.800182718,1/14/2017,Sock J.
46104,1.56,0,1.798139904,3/10/2018,Sandgren T.
46485,1.54,0,1.797899274,5/2/2018,Dutra Silva R.
46264,2.68,1,1.793846829,4/10/2018,Basilashvili N.
44093,1.74,0,1.792857379,5/29/2017,Dutra Silva R.
48195,1.58,0,1.792471375,1/9/2019,Schwartzman D.
43090,1.54,0,1.79212487,1/21/2017,Bautista Agut R.
47920,1.58,0,1.78937171,10/17/2018,Caruso S.
47248,1.54,0,1.789074513,7/27/2018,Kovalik J.
49510,1.69,0,1.788390228,6/21/2019,Berrettini M.
50280,2.34,1,1.785019873,9/19/2019,Bedene A.
46690,1.54,0,1.778971619,5/27/2018,Andreozzi G.
51858,2.72,1,1.777841387,11/3/2020,Paul T.
48093,1.67,0,1.774767401,12/31/2018,Kecmanovic M.
45249,1.6,0,1.772069683,10/12/2017,Dimitrov G.
56023,1.49,0,1.771986254,7/11/2022,Carreno Busta P.
54500,1.51,0,1.767219354,1/13/2022,Kokkinakis T.
50939,1.57,0,1.766625765,2/7/2020,Garin C.
48820,1.57,0,1.766497248,3/22/2019,Kecmanovic M.
54196,1.58,0,1.766365922,10/13/2021,Hurkacz H.
50115,2.31,1,1.766115079,8/23/2019,Paire B.
49455,2.75,1,1.765521494,6/16/2019,Mannarino A.
43180,1.56,0,1.758630405,2/10/2017,Bautista Agut R.
54914,1.76,0,1.756309104,2/21/2022,Bagnis F.
53310,1.56,0,1.755197659,6/22/2021,Ruud C.
55153,2.96,1,1.753608467,3/26/2022,Harris L.
54809,1.48,0,1.752953931,2/14/2022,Kwon S.W.
46721,1.4,0,1.752822324,5/28/2018,Paire B.
57562,1.57,0,1.752454978,3/1/2023,Hanfmann Y.
48780,2.21,1,1.751541989,3/20/2019,Tipsarevic J.
43945,1.54,0,1.74905001,5/11/2017,Thiem D.
49535,2.46,1,1.748891636,6/24/2019,Dzumhur D.
47928,1.56,0,1.748126276,10/18/2018,Schwartzman D.
43449,1.53,0,1.746768654,3/5/2017,Cuevas P.
52606,1.56,0,1.744856688,3/30/2021,Bautista Agut R.
54084,2.52,1,1.743914036,9/30/2021,Giron M.
47747,2.6,1,1.739339529,9/28/2018,Fritz T.
43835,1.68,0,1.736561543,5/2/2017,Khachanov K.
43705,1.49,0,1.732076806,4/18/2017,Cuevas P.
52502,1.62,0,1.731032201,3/18/2021,Auger-Aliassime F.
56289,1.57,0,1.730244431,8/9/2022,Nishioka Y.
46483,2.37,1,1.728860109,5/2/2018,Lorenzi P.
50489,3.5,1,1.728051692,10/15/2019,Carballes Baena R.
49526,1.5,0,1.727732573,6/24/2019,Hurkacz H.
55216,1.68,0,1.727458417,4/6/2022,Kyrgios N.
49422,1.59,0,1.723536178,6/11/2019,Kukushkin M.
47396,1.67,0,1.723140273,8/8/2018,Shapovalov D.
54498,1.56,0,1.722490234,1/13/2022,Evans D.
52084,2.81,1,1.722411454,2/5/2021,Evans D.
54684,1.56,0,1.720787396,2/3/2022,Vesely J.
43178,2.7,1,1.720728989,2/10/2017,Basilashvili N.
52836,2.6,1,1.720536674,4/29/2021,Moutet C.
56330,2.51,1,1.720244672,8/12/2022,Ruud C.
47753,2.68,1,1.718995195,9/29/2018,Nishioka Y.
51211,2.72,1,1.715717173,2/28/2020,Dimitrov G.
47720,1.68,0,1.714704106,9/25/2018,Querrey S.
55482,2.36,1,1.713641782,5/7/2022,Zverev A.
49223,1.57,0,1.709227766,5/19/2019,Nadal R.
49443,1.61,0,1.708473612,6/14/2019,Gasquet R.
44188,1.75,0,1.704605989,6/9/2017,Wawrinka S.
53853,1.51,0,1.704196205,8/24/2021,Gasquet R.
49711,1.65,0,1.703182795,7/16/2019,Novak D.
55382,1.6,0,1.69977394,4/25/2022,Kwon S.W.
46013,2.51,1,1.698032351,2/27/2018,Ferrer D.
53649,2.4,1,1.697244108,7/28/2021,Mager G.
46314,2.38,1,1.69489733,4/15/2018,Zverev M.
55399,2.33,1,1.692650365,4/27/2022,Verdasco F.
57364,1.7,0,1.692037198,2/14/2023,Mmoh M.
48655,1.66,0,1.691530377,2/28/2019,Trungelliti M.
43872,1.5,0,1.690908486,5/4/2017,Klizan M.
47275,2.73,1,1.690908222,7/30/2018,Istomin D.
45994,1.63,0,1.690387831,2/27/2018,Sugita Y.
50008,2.64,1,1.689666414,8/8/2019,Mannarino A.
43958,1.52,0,1.688520589,5/14/2017,Vesely J.
47848,1.63,0,1.686202778,10/9/2018,Kukushkin M.
47993,1.61,0,1.685601423,10/25/2018,Nishikori K.
44648,1.65,0,1.685538739,7/30/2017,Mayer L.
50334,2.64,1,1.684977622,9/26/2019,Garin C.
46380,2.33,1,1.684442071,4/23/2018,Jaziri M.
49698,2.29,1,1.684311898,7/12/2019,Federer R.
43946,1.7,0,1.683549134,5/11/2017,Cuevas P.
44601,2.55,1,1.679859345,7/26/2017,Vesely J.
51396,1.54,0,1.678672496,9/8/2020,Hurkacz H.
50337,2.5,1,1.678241342,9/26/2019,Bublik A.
43577,2.32,1,1.677890831,3/24/2017,Paire B.
54383,2.44,1,1.677865552,11/12/2021,Paul T.
52811,2.5,1,1.677664183,4/27/2021,Mcdonald M.
56054,2.77,1,1.67748618,7/14/2022,Thiem D.
56950,2.33,1,1.677321476,10/28/2022,Coric B.
54578,2.62,1,1.676460227,1/19/2022,Albot R.
55496,2.17,1,1.67310883,5/9/2022,Basilashvili N.
44067,1.65,0,1.671840849,5/28/2017,Robredo T.
47140,1.54,0,1.66899912,7/17/2018,Delbonis F.
45309,2.55,1,1.664308338,10/19/2017,Medvedev D.
49413,2.17,1,1.664013291,6/11/2019,Struff J.L.
55354,1.51,0,1.662829224,4/21/2022,Dimitrov G.
44169,1.72,0,1.662016667,6/3/2017,Anderson K.
55052,2.43,1,1.660031636,3/13/2022,Kecmanovic M.
49744,2.44,1,1.657960218,7/17/2019,Ebden M.
51309,1.8,0,1.657455154,9/1/2020,Mmoh M.
50010,2.36,1,1.657364437,8/8/2019,Khachanov K.
48413,1.7,0,1.657055383,2/9/2019,Medvedev D.
47167,1.63,0,1.65335248,7/20/2018,Trungelliti M.
56558,2.27,1,1.651609791,9/5/2022,Rublev A.
54101,1.71,0,1.651331845,10/1/2021,Ruud C.
55875,1.51,0,1.651099674,6/22/2022,Bublik A.
47426,1.66,0,1.650816681,8/13/2018,Paire B.
56769,1.63,0,1.649538759,10/10/2022,Lestienne C.
52773,2.56,1,1.649530853,4/21/2021,Nishikori K.
56773,2.55,1,1.648634825,10/10/2022,Carballes Baena R.
49942,2.37,1,1.648532206,8/1/2019,Kukushkin M.
43594,1.68,0,1.648420054,3/25/2017,Mannarino A.
53506,2.53,1,1.648331045,7/14/2021,Coria F.
55062,1.36,0,1.64572888,3/14/2022,Dimitrov G.
52385,1.55,0,1.645556349,3/9/2021,Pouille L.
47889,1.53,0,1.644626255,10/16/2018,Paire B.
45414,1.72,0,1.638217125,10/31/2017,Verdasco F.
48122,1.6,0,1.637628019,1/2/2019,Paire B.
52082,1.57,0,1.637229474,2/5/2021,Evans D.
52620,2.8,1,1.636986274,4/5/2021,Kwon S.W.
43232,1.59,0,1.636952921,2/15/2017,Herbert P.H.
48068,2.24,1,1.636731486,11/13/2018,Anderson K.
52988,2.46,1,1.636615998,5/19/2021,Bedene A.
44626,2.82,1,1.634872531,7/27/2017,Hanfmann Y.
49719,2.34,1,1.633553569,7/16/2019,Zverev M.
49190,2.16,1,1.633327274,5/14/2019,Struff J.L.
57226,2.56,1,1.631577168,1/19/2023,Murray A.
48072,2.57,1,1.631442324,11/15/2018,Thiem D.
50319,1.6,0,1.630319459,9/24/2019,Carreno Busta P.
55731,1.77,0,1.629363023,6/7/2022,Bublik A.
45571,2.19,1,1.62894556,1/10/2018,Lorenzi P.
48674,2.12,1,1.628739236,3/1/2019,Tsitsipas S.
49811,1.44,0,1.628349735,7/23/2019,Ruud C.
54873,2.36,1,1.6282247,2/17/2022,Basilashvili N.
57090,1.65,0,1.62782797,1/8/2023,Lestienne C.
46012,2.24,1,1.627652307,2/27/2018,Harrison R.
47891,2.47,1,1.627440692,10/16/2018,Seppi A.
49662,2.38,1,1.627175986,7/4/2019,Johnson S.
44089,1.75,0,1.627099517,5/29/2017,Bolelli S.
57412,2.46,1,1.6253143,2/16/2023,Mannarino A.
57449,1.74,0,1.624859878,2/20/2023,Murray A.
57319,1.46,0,1.624304221,2/9/2023,Coric B.
47410,1.66,0,1.623451039,8/9/2018,Medvedev D.
43797,2.36,1,1.62139907,4/27/2017,Zeballos H.
54114,2.33,1,1.620008153,10/7/2021,Taberner C.
53441,2,0,1.619800342,7/2/2021,Fucsovics M.
43717,1.56,0,1.619043865,4/18/2017,Khachanov K.
49699,1.55,0,1.619011441,7/14/2019,Djokovic N.
45982,1.47,0,1.616678074,2/26/2018,Paire B.
48526,2.39,1,1.615796591,2/19/2019,Bedene A.
54177,1.63,0,1.615181662,10/11/2021,Khachanov K.
53329,1.62,0,1.614849384,6/24/2021,Carreno Busta P.
48020,2.35,1,1.614132451,10/29/2018,Dzumhur D.
55528,2.59,1,1.614114454,5/12/2022,Garin C.
42925,1.46,0,1.613769105,1/7/2017,Bautista Agut R.
56900,1.79,0,1.61349737,10/23/2022,Musetti L.
54625,1.76,0,1.613036153,1/24/2022,Auger-Aliassime F.
52941,1.85,0,1.612566842,5/12/2021,Karatsev A.
54205,1.56,0,1.611633521,10/18/2021,Norrie C.
54180,1.6,0,1.611077717,10/12/2021,Hurkacz H.
50349,2.67,1,1.611033955,9/27/2019,Harris L.
54125,1.75,0,1.609987555,10/8/2021,Gomez E.
52593,1.55,0,1.609753453,3/29/2021,Tiafoe F.
49067,1.61,0,1.608536565,4/30/2019,Schwartzman D.
52443,2.35,1,1.608395135,3/13/2021,Bagnis F.
52100,1.48,0,1.608047513,2/8/2021,Shapovalov D.
47743,2.34,1,1.607852674,9/27/2018,Ebden M.
50831,2.41,1,1.607653463,1/22/2020,Nishioka Y.
43028,2.16,1,1.606981587,1/17/2017,Istomin D.
52810,2.29,1,1.606723819,4/27/2021,Cuevas P.
47941,2.42,1,1.606445154,10/19/2018,Seppi A.
43176,1.37,0,1.606332445,2/10/2017,Bellucci T.
48695,2.18,1,1.606188975,3/8/2019,Johnson S.
49748,1.69,0,1.606115165,7/17/2019,Jarry N.
47317,1.79,0,1.605940796,8/1/2018,Giron M.
44442,1.61,0,1.604784487,7/6/2017,Donaldson J.
50505,1.68,0,1.602288664,10/16/2019,Lajovic D.
53696,1.74,0,1.602160528,8/3/2021,Sock J.
57260,1.64,0,1.601319998,1/22/2023,Korda S.
56095,1.56,0,1.600615512,7/19/2022,Ymer E.
57500,2.01,1,1.600513508,2/23/2023,Ymer M.
46632,1.47,0,1.59983584,5/19/2018,Zverev A.
55515,2.44,1,1.59942182,5/11/2022,Cilic M.
57100,1.75,0,1.599334388,1/9/2023,Kokkinakis T.
56171,2.25,1,1.599019323,7/27/2022,Misolic F.
51043,1.73,0,1.598512902,2/16/2020,Seppi A.
43136,1.38,0,1.598353807,2/8/2017,Estrella Burgos V.
44270,2.1,1,1.598178184,6/20/2017,Khachanov K.
48980,1.74,0,1.597086382,4/19/2019,Lajovic D.
55508,1.68,0,1.59635231,5/10/2022,Shapovalov D.
48163,1.72,0,1.595013221,1/6/2019,Klizan M.
54028,1.5,0,1.594914986,9/22/2021,Carreno Busta P.
55022,2.35,1,1.594765947,3/11/2022,Otte O.
50047,1.64,0,1.594445211,8/14/2019,Mannarino A.
53318,2.19,1,1.594444399,6/23/2021,Seppi A.
56577,2.58,1,1.592995796,9/20/2022,Basilashvili N.
47417,1.65,0,1.592740643,8/10/2018,Anderson K.
54632,2.31,1,1.592283139,1/26/2022,Tsitsipas S.
50098,2.32,1,1.592002323,8/20/2019,Carballes Baena R.
49991,1.6,0,1.591948817,8/7/2019,Medvedev D.
55255,1.47,0,1.591474134,4/11/2022,Bublik A.
52975,1.5,0,1.590518916,5/18/2021,Fognini F.
56358,2.5,1,1.59037305,8/16/2022,Coric B.
54097,1.68,0,1.589857966,10/1/2021,Giron M.
47911,2.43,1,1.587205827,10/17/2018,Gerasimov E.
50018,2.56,1,1.587118969,8/10/2019,Monfils G.
44307,2.51,1,1.586886675,6/26/2017,Haase R.
53801,1.7,0,1.586659176,8/18/2021,Ruud C.
50643,1.6,0,1.586626993,10/30/2019,Thiem D.
45356,2.37,1,1.586157306,10/24/2017,Mayer L.
47371,2.59,1,1.585581422,8/6/2018,Polansky P.
52092,1.54,0,1.58522666,2/5/2021,Auger-Aliassime F.
43216,1.68,0,1.584211828,2/14/2017,Andreozzi G.
47211,2.63,1,1.584039067,7/24/2018,Monteiro T.
55808,1.66,0,1.583788452,6/15/2022,Kyrgios N.
50308,1.56,0,1.583358755,9/23/2019,Klahn B.
44572,1.87,0,1.58311935,7/24/2017,Hanfmann Y.
48536,2.3,1,1.58254818,2/19/2019,Lorenzi P.
49722,2.49,1,1.582491089,7/16/2019,Bagnis F.
47755,1.69,0,1.582393364,9/29/2018,Fognini F.
44500,1.93,0,1.582321346,7/18/2017,Dancevic F.
55004,2.36,1,1.5822534,3/10/2022,Musetti L.
47334,2.74,1,1.581652108,8/2/2018,Istomin D.
50067,2.56,1,1.581324425,8/15/2019,Gasquet R.
51103,2.11,1,1.581208403,2/20/2020,Humbert U.
54112,2.01,1,1.58068899,10/7/2021,Popyrin A.
56374,1.61,0,1.580265256,8/17/2022,Cilic M.
53789,2.13,1,1.579986666,8/17/2021,Cilic M.
43337,1.37,0,1.579972933,2/23/2017,Johnson S.
50214,2.2,1,1.577356219,8/29/2019,Evans D.
46916,2.17,1,1.577231848,6/22/2018,Kudla D.
46959,1.81,0,1.577208099,6/27/2018,Lacko L.
52546,1.62,0,1.57654813,3/25/2021,Ruusuvuori E.
48802,1.61,0,1.576161951,3/21/2019,Chardy J.
51583,2.34,1,1.575419816,9/30/2020,Sonego L.
46529,2.6,1,1.575131012,5/7/2018,Lajovic D.
45496,1.84,0,1.573654673,1/2/2018,Mmoh M.
46975,1.56,0,1.572730709,6/29/2018,Zverev M.
55458,1.55,0,1.572593324,5/4/2022,Auger-Aliassime F.
45573,2.77,1,1.572571428,1/10/2018,Fognini F.
53658,1.63,0,1.571827054,7/28/2021,Kyrgios N.
57640,1.62,0,1.235230402,3/10/2023,Barrere G.
46821,1.83,0,1.57087093,6/12/2018,Donskoy E.
48164,1.67,0,1.568329107,1/6/2019,Fritz T.
53267,2.23,1,1.567679918,6/17/2021,Basilashvili N.
55799,1.4,0,1.567648904,6/14/2022,Hurkacz H.
57088,1.62,0,1.567351229,1/7/2023,Djokovic N.
45855,1.58,0,1.566845932,2/15/2018,Medvedev D.
43904,2.45,1,1.56652461,5/8/2017,Donaldson J.
53675,1.79,0,1.566495471,7/30/2021,Martinez P.
57528,1.56,0,1.566479704,2/27/2023,Cerundolo J.M.
55006,1.62,0,1.565318756,3/10/2022,Krajinovic F.
53874,1.59,0,1.564293913,8/28/2021,Ivashka I.
52312,1.83,0,1.563531365,3/1/2021,Andujar P.
47499,1.56,0,1.562887102,8/21/2018,Gojowczyk P.
47634,2.36,1,1.56179582,9/2/2018,Isner J.
56693,2.26,1,1.56149394,9/30/2022,Musetti L.
54951,1.58,0,1.561404133,2/23/2022,Mcdonald M.
50952,1.75,0,1.559867376,2/8/2020,Gerasimov E.
49519,1.66,0,1.559191406,6/23/2019,Kecmanovic M.
55459,1.49,0,1.558457072,5/4/2022,Sinner J.
49218,1.72,0,1.558402424,5/17/2019,Tsitsipas S.
43330,1.6,0,1.557441592,2/23/2017,Darcis S.
45760,1.81,0,1.55738267,2/7/2018,Seppi A.
54050,1.65,0,1.556996629,9/24/2021,Hurkacz H.
47374,1.68,0,1.556815096,8/6/2018,Fucsovics M.
54764,1.61,0,1.556599855,2/9/2022,Nishioka Y.
55442,1.83,0,1.555163632,5/2/2022,Lajovic D.
56018,2.1,1,1.554506519,7/11/2022,Kubler J.
44541,1.66,0,1.554481195,7/20/2017,Dolgopolov O.
43013,1.58,0,1.554343739,1/16/2017,Jaziri M.
50748,2.83,1,1.553716078,1/16/2020,Harris L.
45355,2.55,1,1.5535295,10/24/2017,Paire B.
45701,1.76,0,1.551834552,1/19/2018,Carreno Busta P.
44418,2.16,1,1.550983668,7/4/2017,Ramos-Vinolas A.
45163,1.61,0,1.550345215,10/3/2017,Mayer L.
55833,2.49,1,1.548772416,6/18/2022,Hurkacz H.
54117,1.87,0,1.548410809,10/7/2021,Mcdonald M.
51832,2.17,1,1.548333645,10/31/2020,Millman J.
46922,1.78,0,1.547186017,6/23/2018,Coric B.
52028,2.52,1,1.546957062,2/2/2021,Duckworth J.
52672,1.76,0,1.546427437,4/11/2021,Goffin D.
47429,1.64,0,1.544102113,8/13/2018,Mayer L.
56430,2.44,1,1.543904412,8/24/2022,Thiem D.
53077,1.81,0,1.543879408,5/30/2021,Djere L.
45189,1.84,0,1.543827324,10/6/2017,Mannarino A.
52391,1.79,0,1.543763091,3/9/2021,Evans D.
48354,1.59,0,1.542806271,2/5/2019,Hoang A.
43982,2.11,1,1.542540508,5/16/2017,Sock J.
52755,1.54,0,1.541865919,4/20/2021,Shapovalov D.
55045,2.43,1,1.541486907,3/13/2022,Bublik A.
52586,1.66,0,1.541481668,3/28/2021,Sinner J.
50373,2.2,1,1.540334815,10/1/2019,Albot R.
43262,2.36,1,1.540176648,2/18/2017,Dolgopolov O.
52945,1.79,0,1.53991219,5/12/2021,Bautista Agut R.
42937,2.09,1,1.539857593,1/9/2017,Lorenzi P.
55025,1.55,0,1.539724396,3/12/2022,Monfils G.
54502,1.67,0,1.539414707,1/13/2022,Cilic M.
47636,2.43,1,1.53916546,9/2/2018,Thiem D.
54134,1.73,0,1.538167359,10/8/2021,Davidovich Fokina A.
44991,1.89,1,1.537963704,8/31/2017,Troicki V.
47279,1.66,0,1.537914987,7/31/2018,De Minaur A.
48495,1.58,0,1.537141468,2/15/2019,Opelka R.
43488,2.2,1,1.535898155,3/11/2017,Pella G.
50806,2.19,1,1.535779862,1/21/2020,Fognini F.
56873,1.78,0,1.53529225,10/20/2022,Djere L.
50594,1.79,0,1.534455018,10/24/2019,Krajinovic F.
49185,2.28,1,1.534288586,5/14/2019,Basilashvili N.
43302,1.88,0,1.534226007,2/21/2017,Darcis S.
52238,2.33,1,1.53382572,2/23/2021,Novak D.
52925,2.47,1,1.533657518,5/11/2021,Auger-Aliassime F.
47682,2.37,1,1.533480938,9/20/2018,Cecchinato M.
55128,2.46,1,1.533346595,3/25/2022,Mcdonald M.
54843,2.34,1,1.533165472,2/15/2022,Verdasco F.
49781,2.2,1,1.532889536,7/22/2019,Rublev A.
46077,2.37,1,1.531370009,3/9/2018,Herbert P.H.
49747,2.48,1,1.53114392,7/17/2019,Chardy J.
46542,2.44,1,1.531129794,5/8/2018,Harrison R.
55046,1.64,0,1.530942314,3/13/2022,Harris L.
53364,1.55,0,1.528756154,6/29/2021,Harris L.
43931,1.69,0,1.528702574,5/10/2017,Coric B.
54558,1.93,1,1.528505953,1/18/2022,Cressy M.
44171,2.57,1,1.527834798,6/3/2017,Verdasco F.
44740,2.25,1,1.52731085,8/4/2017,Kokkinakis T.
44625,1.75,0,1.527305248,7/27/2017,Gulbis E.
57217,2.01,1,1.524767753,1/18/2023,Mannarino A.
51061,1.6,0,1.52318439,2/18/2020,Munar J.
50109,1.79,0,1.523053392,8/21/2019,Paire B.
54638,2.42,1,1.523025573,1/31/2022,Bublik A.
53913,2.17,1,1.522688474,8/31/2021,Sock J.
45406,2.08,1,1.522580535,10/30/2017,Mahut N.
51129,1.58,0,1.522140821,2/23/2020,Opelka R.
55300,1.87,0,1.52185801,4/16/2022,Tsitsipas S.
44642,1.66,0,1.521406305,7/29/2017,Isner J.
42856,2.1,1,1.520732678,1/2/2017,Sela D.
54303,2.2,1,1.520465735,10/29/2021,Tiafoe F.
57316,2.82,1,1.519501844,2/9/2023,Cressy M.
52781,1.77,0,1.51931762,4/22/2021,Sinner J.
55273,1.66,0,1.518583855,4/12/2022,Ruusuvuori E.
54936,2.13,1,1.518475789,2/22/2022,Berankis R.
43133,2.51,1,1.518394097,2/7/2017,Klizan M.
53851,1.68,0,1.518390753,8/24/2021,Paire B.
49264,1.67,0,1.51836032,5/23/2019,Delbonis F.
46315,2.17,1,1.51763257,4/15/2018,Medvedev D.
45130,2.33,1,1.516962849,9/29/2017,Istomin D.
57101,2.88,1,1.516489778,1/9/2023,Davidovich Fokina A.
48180,1.67,0,1.51631266,1/8/2019,Millman J.
47439,1.78,0,1.51604161,8/14/2018,Goffin D.
55990,2.12,1,1.51588699,7/1/2022,Tiafoe F.
43239,1.71,0,1.515766619,2/16/2017,Thiem D.
51815,2.6,1,1.515727271,10/29/2020,Sonego L.
44787,2.09,1,1.515382061,8/10/2017,Zverev A.
45481,1.73,0,1.515240279,1/1/2018,Ramanathan R.
43490,1.67,0,1.51488653,3/11/2017,Struff J.L.
54341,1.67,0,1.513303505,11/2/2021,Paul T.
54879,1.81,0,1.512091712,2/17/2022,Bonzi B.
43412,1.62,0,1.511073428,3/1/2017,Nishioka Y.
52329,1.71,0,1.509496531,3/2/2021,Klein L.
